cell_hash,B,T_max_s,k,lambda_bg,N,alpha,D,init,bucket,n_batches,mean_cand_size,p10_cand_size,p90_cand_size,frac_cand_le_k,frac_cand_le_5,frac_cand_le_10,top1_acc,top5_acc,mean_mrr
83cb2fac599b,50,300,3,100,1024,0.5,matched,cold,top-1k,2302,111.67636837532581,16,316,0.0,0.0004344048653344917,0.008253692441355343,0.0,0.006516072980017376,0.1242158555438019
83cb2fac599b,50,300,3,100,1024,0.5,matched,cold,1k-5k,2769,105.65438786565547,15,281,0.0,0.0,0.00902853015529072,0.0,0.005055976886962802,0.10052843936933814
83cb2fac599b,50,300,3,100,1024,0.5,matched,cold,5k-10k,2546,171.82835820895522,16,624,0.0,0.0,0.005106048703849175,0.0,0.005106048703849175,0.09634796229875293
f42f642a2a32,50,300,3,100,1024,0.5,uniform,cold,top-1k,2303,90.85280069474598,0,293,0.5345201910551455,0.5549283543204516,0.6009552757273122,0.3673469387755102,0.6778115501519757,0.5389497115577607
f42f642a2a32,50,300,3,100,1024,0.5,uniform,cold,1k-5k,2751,85.6019629225736,0,260,0.549618320610687,0.5899672846237731,0.6423118865866958,0.2599054889131225,0.5190839694656488,0.4204194997749514
f42f642a2a32,50,300,3,100,1024,0.5,uniform,cold,5k-10k,2544,149.92963836477986,0,601,0.43985849056603776,0.46894654088050314,0.5133647798742138,0.20086477987421383,0.4925314465408805,0.3806317401402683
dc791bb3cf30,50,300,3,100,1024,0.5,stale,cold,top-1k,2295,91.19825708061002,0,292,0.5294117647058824,0.5485838779956427,0.5973856209150327,0.3616557734204793,0.673202614379085,0.5392386078271408
dc791bb3cf30,50,300,3,100,1024,0.5,stale,cold,1k-5k,2809,84.38590245639017,0,255,0.5560697757208971,0.5952296190815237,0.6450694197223211,0.255250978996084,0.5179779280882877,0.41346655972336815
dc791bb3cf30,50,300,3,100,1024,0.5,stale,cold,5k-10k,2531,151.29790596602135,0,601,0.4338206242591861,0.46779928881864874,0.5195574871592256,0.1951797708415646,0.4879494271039115,0.37754734458932065
