cell_hash,B,T_max_s,k,lambda_bg,N,alpha,D,init,n_trials,mean_cand_size,p10_cand_size,p90_cand_size,frac_cand_le_k,frac_cand_le_5,frac_cand_le_10,top1_acc,top5_acc,mean_mrr,mean_victim_score
83cb2fac599b,50,300,3,100,1024,0.5,matched,cold,4500,246.80555555555554,21,753,0.0,0.0,0.0,0.0,0.0077777777777777776,0.17392328148984804,0.9414439380386919
f42f642a2a32,50,300,3,100,1024,0.5,uniform,cold,4500,208.66222222222223,1,720,0.238,0.26022222222222224,0.318,0.4093333333333333,0.8828888888888888,0.6858716617634528,0.9409313376484669
dc791bb3cf30,50,300,3,100,1024,0.5,stale,cold,4500,212.27377777777778,1,725,0.23977777777777778,0.2613333333333333,0.31533333333333335,0.40355555555555556,0.8793333333333333,0.6819932671551497,0.9423991313116041
