cell_hash,label,B,T_max_s,k,lambda_bg,N,alpha,D,init,n_users,n_failed,days_to_fp_median,days_to_fp_p10,days_to_fp_p90,n_censored,posterior_fraction_users,repertoire_acc_median_final,underflow_day_rate_mean,p_obs_fitted
83cb2fac599b,B50_T300_k3_bg100_N1024_a0.5_matched_cold,50,300,3,100,1024,0.5,matched,cold,30,0,7.0,7.0,7.0,30,0.0,0.7,0.9571428571428572,0.8014925382575446
f42f642a2a32,B50_T300_k3_bg100_N1024_a0.5_uniform_cold,50,300,3,100,1024,0.5,uniform,cold,30,0,7.0,7.0,7.0,27,0.23333333333333334,0.8,0.9761904761904762,0.8237835556612543
dc791bb3cf30,B50_T300_k3_bg100_N1024_a0.5_stale_cold,50,300,3,100,1024,0.5,stale,cold,30,0,7.0,7.0,7.0,30,0.16666666666666666,0.8,0.9809523809523809,0.8304552614127616
