cell_hash,B,T_max_s,k,lambda_bg,N,alpha,D,init,bucket,n_batches,mean_cand_size,p10_cand_size,p90_cand_size,frac_cand_le_k,frac_cand_le_5,frac_cand_le_10,top1_acc,top5_acc,mean_mrr
da2ef08eb32f,20,300,3,100,1024,0.5,matched,cold,top-1k,3869,46.74437839234945,5,157,0.022227965882657016,0.11088136469371931,0.528043422072887,0.002067717756526234,0.13259240113724477,0.119552541583238
da2ef08eb32f,20,300,3,100,1024,0.5,matched,cold,1k-5k,5025,43.015124378109455,5,95,0.036218905472636814,0.1474626865671642,0.5978109452736319,0.0015920398009950248,0.09393034825870647,0.08923830483143849
da2ef08eb32f,20,300,3,100,1024,0.5,matched,cold,5k-10k,4657,70.70216877818338,5,249,0.02941808030921194,0.12239639252737813,0.5260897573545201,0.001932574618853339,0.0792355593729869,0.08150179527494217
53e5848000ab,20,300,3,100,1024,0.5,uniform,cold,top-1k,3923,37.33265358144277,0,146,0.6668366046393066,0.7173081825133826,0.7787407596227377,0.2732602600050981,0.45475401478460364,0.37978560984031845
53e5848000ab,20,300,3,100,1024,0.5,uniform,cold,1k-5k,5084,34.5558615263572,0,66,0.7321007081038552,0.785405192761605,0.8190401258851299,0.2147915027537372,0.36742722265932337,0.30822687542339067
53e5848000ab,20,300,3,100,1024,0.5,uniform,cold,5k-10k,4656,62.855670103092784,0,241,0.6383161512027491,0.6937285223367697,0.7446305841924399,0.15829037800687284,0.32152061855670105,0.2531201810669456
5fcd56b6e8db,20,300,3,100,1024,0.5,stale,cold,top-1k,3893,38.021320318520424,0,145,0.662727973285384,0.7133316208579502,0.7783200616491138,0.274338556383252,0.4502954020035962,0.3807904119356628
5fcd56b6e8db,20,300,3,100,1024,0.5,stale,cold,1k-5k,5125,33.496,0,66,0.7319024390243902,0.7882926829268293,0.8220487804878048,0.21482926829268292,0.36721951219512194,0.3075531644813137
5fcd56b6e8db,20,300,3,100,1024,0.5,stale,cold,5k-10k,4668,61.90424164524421,0,241,0.6383890317052271,0.6979434447300771,0.743573264781491,0.15552699228791775,0.32112253641816624,0.2540174040786367
