cell_hash,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
5fcd56b6e8db,16,7,True,830,0.8,0.001825379514125995
5fcd56b6e8db,17,7,True,50,0.7,0.9532115406612621
5fcd56b6e8db,18,7,True,26,0.8,0.014314923084224232
5fcd56b6e8db,19,7,True,13,0.9,0.46924431319163346
5fcd56b6e8db,20,7,True,32,1.0,0.9856819859064274
5fcd56b6e8db,21,7,True,46,0.7,0.8787027070962845
5fcd56b6e8db,22,7,True,36,0.9,0.0018644983356683484
5fcd56b6e8db,23,7,True,26,1.0,0.8968430623955884
5fcd56b6e8db,24,7,True,13,0.7,0.6084505363261205
5fcd56b6e8db,25,7,True,13,0.6,0.005165460058915133
5fcd56b6e8db,26,7,True,29,0.7,0.011155187257017547
5fcd56b6e8db,27,7,True,67,0.9,0.8039340626637029
5fcd56b6e8db,28,7,True,80,0.9,0.7096341143009306
5fcd56b6e8db,29,7,True,49,0.8,0.9466177788196823
