cell_hash,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
da2ef08eb32f,0,7,True,103,0.3,0.01779742200395086
da2ef08eb32f,1,7,True,109,0.8,0.010383283013962541
da2ef08eb32f,2,7,True,82,0.7,0.029624713767705865
da2ef08eb32f,3,7,True,14,0.7,0.2592630884733983
da2ef08eb32f,4,7,True,58,0.6,0.004044685735571046
da2ef08eb32f,5,7,True,795,0.6,0.004662580312879686
da2ef08eb32f,6,7,True,133,0.6,0.001168386484250185
da2ef08eb32f,7,7,True,101,0.8,0.013591817988403008
da2ef08eb32f,8,7,True,26,0.4,0.05264618676245143
da2ef08eb32f,9,7,True,868,0.8,0.007165913756217785
da2ef08eb32f,10,7,True,73,0.9,0.058451310181064094
da2ef08eb32f,11,7,True,84,0.3,0.015319413587251113
da2ef08eb32f,12,7,True,63,0.7,0.004344576622728066
da2ef08eb32f,13,7,True,66,0.6,0.0013741064230065774
da2ef08eb32f,14,7,True,28,0.4,0.05740471682112752
da2ef08eb32f,15,7,True,16,0.6,0.0882718557007473
da2ef08eb32f,16,7,True,41,0.9,0.0034102569400459725
da2ef08eb32f,17,7,True,40,0.7,0.005497863251506559
da2ef08eb32f,18,7,True,33,0.4,0.08281837201309089
da2ef08eb32f,19,7,True,81,0.6,0.07965301796948121
da2ef08eb32f,20,7,True,81,0.6,0.001337814000977818
da2ef08eb32f,21,7,True,99,0.5,0.04675515141641193
da2ef08eb32f,22,7,True,227,0.7,0.002489115722696539
da2ef08eb32f,23,7,True,30,0.6,0.14578398294162057
da2ef08eb32f,24,7,True,93,0.7,0.058917050786810365
da2ef08eb32f,25,7,True,20,0.7,0.006288526134116043
da2ef08eb32f,26,7,True,98,0.6,0.04654100588655321
da2ef08eb32f,27,7,True,72,0.6,0.24593399395583262
da2ef08eb32f,28,7,True,82,0.9,0.008126273971973639
da2ef08eb32f,29,7,True,19,0.7,0.08823075822847566
53e5848000ab,0,7,True,19,0.8,0.008370701796563223
53e5848000ab,1,7,True,35,0.7,0.8430023815115409
53e5848000ab,2,7,True,82,0.8,0.6107859297835712
53e5848000ab,3,7,True,47,0.9,0.9900960545569153
53e5848000ab,4,7,True,54,0.8,0.18933518244427563
53e5848000ab,5,7,True,81,0.7,0.06345065006461999
53e5848000ab,6,7,True,41,0.6,0.009793576435573817
53e5848000ab,7,7,True,48,0.9,0.6075390919447445
53e5848000ab,8,7,True,34,1.0,0.7562756614545789
53e5848000ab,9,7,True,51,0.9,0.9030907435839215
53e5848000ab,10,7,True,93,0.9,0.7301996277926888
53e5848000ab,11,7,True,14,0.5,0.001808505581704124
53e5848000ab,12,7,True,270,0.8,0.08943753859750116
53e5848000ab,13,7,True,23,0.8,0.17710235852349923
53e5848000ab,14,7,True,92,0.9,0.06399905380735413
53e5848000ab,15,7,True,15,0.8,0.4439141424224581
53e5848000ab,16,7,True,41,0.9,0.8688454538124737
53e5848000ab,17,7,True,13,0.5,0.005368481436496212
53e5848000ab,18,7,True,14,0.7,0.01673608385111376
53e5848000ab,19,7,True,42,0.9,0.9173245301706228
53e5848000ab,20,7,True,47,0.9,0.9355275905503945
53e5848000ab,21,7,True,80,0.7,0.4391707254084148
53e5848000ab,22,7,True,38,1.0,0.9772300650951415
53e5848000ab,23,7,True,44,0.7,0.17543782074130496
53e5848000ab,24,7,True,16,0.7,0.9712885245854177
53e5848000ab,25,7,True,42,0.9,0.2445559716291568
53e5848000ab,26,7,True,15,0.6,0.001415799685910954
53e5848000ab,27,7,True,57,0.8,0.0028775539755353653
53e5848000ab,28,7,True,55,1.0,0.9631047400111591
53e5848000ab,29,7,True,106,1.0,0.8799162417475077
5fcd56b6e8db,0,7,True,21,1.0,0.9851277101248406
5fcd56b6e8db,1,7,True,27,0.5,0.0035136295536219186
5fcd56b6e8db,2,7,True,23,0.7,0.04423529358969636
5fcd56b6e8db,3,7,True,43,1.0,0.8921828207594918
5fcd56b6e8db,4,7,True,24,0.9,0.9674021768777602
5fcd56b6e8db,5,7,True,49,0.5,0.022688461677751362
5fcd56b6e8db,6,7,True,42,0.8,0.9825688696696401
5fcd56b6e8db,7,7,True,75,1.0,0.23991689006861608
5fcd56b6e8db,8,7,True,823,1.0,0.005056927249703615
5fcd56b6e8db,9,7,False,10,0.8,0.9655879969706611
5fcd56b6e8db,10,7,True,18,0.7,0.017280657825435544
5fcd56b6e8db,11,7,True,16,0.9,0.9769677545876604
5fcd56b6e8db,12,7,True,28,0.7,0.07989264453708975
5fcd56b6e8db,13,7,True,21,1.0,0.9907696931447691
5fcd56b6e8db,14,4,False,7,0.5,0.009544731945191356
5fcd56b6e8db,15,7,True,828,0.9,0.005719781151961482
