cell_hash,B,T_max_s,k,lambda_bg,N,alpha,D,init,n_trials,mean_cand_size,p10_cand_size,p90_cand_size,frac_cand_le_k,frac_cand_le_5,frac_cand_le_10,top1_acc,top5_acc,mean_mrr,mean_victim_score
da2ef08eb32f,20,300,3,100,1024,0.5,matched,cold,4500,220.724,10,697,0.0013333333333333333,0.009777777777777778,0.12733333333333333,0.004666666666666667,0.21933333333333332,0.2545390045174156,0.9308363708368429
53e5848000ab,20,300,3,100,1024,0.5,uniform,cold,4500,193.6448888888889,1,641,0.25222222222222224,0.27355555555555555,0.3402222222222222,0.46644444444444444,0.8893333333333333,0.7047063534887946,0.9305703201820911
5fcd56b6e8db,20,300,3,100,1024,0.5,stale,cold,4500,192.5528888888889,1,623,0.25,0.27311111111111114,0.33844444444444444,0.45444444444444443,0.8884444444444445,0.7016338757374326,0.9296537414440225
