cell_hash,label,B,T_max_s,k,lambda_bg,N,alpha,D,init,n_users,n_failed,days_to_fp_median,days_to_fp_p10,days_to_fp_p90,n_censored,posterior_fraction_users,repertoire_acc_median_final,underflow_day_rate_mean,p_obs_fitted
da2ef08eb32f,B20_T300_k3_bg100_N1024_a0.5_matched_cold,20,300,3,100,1024,0.5,matched,cold,30,0,7.0,7.0,7.0,30,0.0,0.6,0.9571428571428572,0.7755662083159066
53e5848000ab,B20_T300_k3_bg100_N1024_a0.5_uniform_cold,20,300,3,100,1024,0.5,uniform,cold,30,0,7.0,7.0,7.0,30,0.23333333333333334,0.8,0.9142857142857143,0.8299968315124324
5fcd56b6e8db,B20_T300_k3_bg100_N1024_a0.5_stale_cold,20,300,3,100,1024,0.5,stale,cold,30,0,7.0,7.0,7.0,28,0.3,0.8,0.9714285714285714,0.8288853917629273
