cell_hash,B,T_max_s,k,lambda_bg,N,alpha,D,init,bucket,n_batches,mean_cand_size,p10_cand_size,p90_cand_size,frac_cand_le_k,frac_cand_le_5,frac_cand_le_10,top1_acc,top5_acc,mean_mrr
5e780cc8a1dd,100,300,3,100,1024,0.5,matched,cold,top-1k,1778,176.5281214848144,35,459,0.0,0.0,0.0,0.0,0.0,0.10597428922723597
5e780cc8a1dd,100,300,3,100,1024,0.5,matched,cold,1k-5k,1989,183.5032679738562,33,534,0.0,0.0,0.0,0.0,0.0,0.09319979262715997
5e780cc8a1dd,100,300,3,100,1024,0.5,matched,cold,5k-10k,1831,289.08629164391044,36,822,0.0,0.0,0.0,0.0,0.0,0.09143527116782751
ecdcb4770668,100,300,3,100,1024,0.5,uniform,cold,top-1k,1783,133.69826135726305,1,401,0.4099831744251262,0.43409983174425126,0.4784071789119462,0.35894559730790804,0.82893998878295,0.6245432045487329
ecdcb4770668,100,300,3,100,1024,0.5,uniform,cold,1k-5k,1971,144.1451040081177,0,508,0.38406900050735665,0.4246575342465753,0.4865550481988838,0.2780314561136479,0.6834094368340944,0.5247862473711841
ecdcb4770668,100,300,3,100,1024,0.5,uniform,cold,5k-10k,1814,248.90628445424477,1,786,0.28721058434399116,0.3164277839029768,0.34564498346196254,0.20672546857772878,0.6527012127894156,0.4882916792001408
bc9cba48623e,100,300,3,100,1024,0.5,stale,cold,top-1k,1769,135.3583945732052,1,400,0.40022611644997175,0.43244771057094405,0.47201808931599776,0.3578292820802713,0.8309779536461278,0.6243230537241045
bc9cba48623e,100,300,3,100,1024,0.5,stale,cold,1k-5k,1965,144.9770992366412,0,508,0.3755725190839695,0.4198473282442748,0.48447837150127226,0.28091603053435116,0.6788804071246819,0.523170693378291
bc9cba48623e,100,300,3,100,1024,0.5,stale,cold,5k-10k,1807,249.8638627559491,1,786,0.28776978417266186,0.3137797454344217,0.33923630326508025,0.2058660763696735,0.6524626452684007,0.49038128994377056
