cell_hash,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
5e780cc8a1dd,0,7,True,168,0.8,0.002457797643049106
5e780cc8a1dd,1,7,True,169,0.6,0.002655787863403295
5e780cc8a1dd,2,7,True,123,0.7,0.017578566083609286
5e780cc8a1dd,3,7,True,222,0.8,0.0024289856296175237
5e780cc8a1dd,4,7,True,217,0.9,0.005367593226201766
5e780cc8a1dd,5,7,True,221,0.9,0.012943674356746334
5e780cc8a1dd,6,7,True,223,0.9,0.013264868652365997
5e780cc8a1dd,7,7,True,118,0.8,0.10189749878842544
5e780cc8a1dd,8,7,True,323,0.7,0.013033272489221835
5e780cc8a1dd,9,7,True,180,0.7,0.004240189942752723
5e780cc8a1dd,10,7,True,353,0.9,0.00046148593191996224
5e780cc8a1dd,11,7,True,328,1.0,0.017701167498134822
5e780cc8a1dd,12,7,True,187,0.8,0.007138439580743206
5e780cc8a1dd,13,7,True,189,0.8,0.026948991035186144
5e780cc8a1dd,14,7,True,191,0.9,0.002098296512161724
5e780cc8a1dd,15,7,True,161,0.7,0.035455866480381654
5e780cc8a1dd,16,7,True,354,0.8,0.0029821267043806466
5e780cc8a1dd,17,7,True,463,0.9,0.001043963225122852
5e780cc8a1dd,18,7,True,162,0.7,0.03163846314576173
5e780cc8a1dd,19,7,True,362,0.6,0.01314393091953634
5e780cc8a1dd,20,7,True,156,0.7,0.016314155595872157
5e780cc8a1dd,21,7,True,374,1.0,0.019775909001633382
5e780cc8a1dd,22,7,True,100,0.6,0.04101592434313693
5e780cc8a1dd,23,7,True,138,0.9,0.05019163390469944
5e780cc8a1dd,24,7,True,139,0.5,0.005571073137177329
5e780cc8a1dd,25,7,True,283,1.0,0.013385520840206885
5e780cc8a1dd,26,7,True,208,0.7,0.004100444547636475
5e780cc8a1dd,27,7,True,126,0.7,0.004600038285342942
5e780cc8a1dd,28,7,True,190,0.9,0.016314198004192138
5e780cc8a1dd,29,7,True,185,0.9,0.00033195968785862737
ecdcb4770668,0,7,True,59,0.7,0.008448296755716506
ecdcb4770668,1,7,True,420,0.9,0.4086532719127872
ecdcb4770668,2,7,True,310,0.9,0.9400934907825231
ecdcb4770668,3,7,True,153,0.9,0.9121530116086348
ecdcb4770668,4,7,True,36,0.9,0.7473399337350973
ecdcb4770668,5,7,True,75,1.0,0.9852244487960721
ecdcb4770668,6,7,True,835,1.0,0.005795810710167948
ecdcb4770668,7,7,True,41,0.8,0.13211139352374054
ecdcb4770668,8,7,True,35,0.7,0.025687296641059943
ecdcb4770668,9,7,True,96,0.8,0.07581377133671535
ecdcb4770668,10,7,True,93,0.8,0.07657281573382192
ecdcb4770668,11,7,True,34,0.7,0.10877901703123591
ecdcb4770668,12,7,True,13,0.7,0.15115388118421844
ecdcb4770668,13,7,True,200,0.9,0.07526692675873285
ecdcb4770668,14,7,True,27,0.7,0.00477237396742337
ecdcb4770668,15,7,True,459,0.9,0.56053864332115
ecdcb4770668,16,7,True,61,0.7,0.6269473029870992
ecdcb4770668,17,7,True,827,1.0,0.003962788791961928
ecdcb4770668,18,7,True,73,0.7,0.9118128551464052
ecdcb4770668,19,7,True,80,0.9,0.02558803687086467
ecdcb4770668,20,7,True,315,0.7,0.3581102476428495
ecdcb4770668,21,7,True,64,0.7,0.1561642904159079
ecdcb4770668,22,7,True,399,0.9,0.4970368731381883
ecdcb4770668,23,7,True,177,1.0,0.47659192069769074
ecdcb4770668,24,7,True,814,0.9,0.0043969475155561984
ecdcb4770668,25,7,True,124,1.0,0.15318772283400306
ecdcb4770668,26,7,True,127,1.0,0.0914831332857737
ecdcb4770668,27,7,True,84,0.7,0.0024891587319259656
ecdcb4770668,28,7,True,796,0.8,0.0027260325490296245
ecdcb4770668,29,7,True,769,1.0,0.49782337417149225
bc9cba48623e,0,7,True,45,0.7,0.044488666256913466
bc9cba48623e,1,7,True,322,0.8,0.013093531959199154
bc9cba48623e,2,7,True,342,0.9,0.01892281423789709
bc9cba48623e,3,7,True,873,0.8,0.0015131355520581953
bc9cba48623e,4,7,True,737,0.9,0.01703825195591784
bc9cba48623e,5,7,True,65,0.9,0.0944631028223255
bc9cba48623e,6,7,True,810,0.9,0.006168179767276844
bc9cba48623e,7,7,True,42,0.8,0.003588705136000343
bc9cba48623e,8,7,True,15,0.7,0.09301875671736581
bc9cba48623e,9,7,True,471,1.0,0.9614250350803597
bc9cba48623e,10,7,True,104,0.8,0.8401913256772776
bc9cba48623e,11,7,True,24,0.9,0.5673745604484753
bc9cba48623e,12,7,True,25,0.8,0.08541437369589915
bc9cba48623e,13,7,True,166,0.8,0.08363046940367776
bc9cba48623e,14,7,True,30,0.6,0.14185376152058143
bc9cba48623e,15,7,True,12,0.9,0.9978624217265729
bc9cba48623e,16,7,True,34,1.0,0.3691096941503274
bc9cba48623e,17,7,True,39,0.7,0.033303559360146395
bc9cba48623e,18,7,True,22,0.6,0.9937822543485104
bc9cba48623e,19,7,True,206,1.0,0.6051009787297201
bc9cba48623e,20,7,True,109,1.0,0.11775073390559371
bc9cba48623e,21,7,True,796,0.8,0.006630963739709625
bc9cba48623e,22,7,True,828,0.8,0.00475292922368732
bc9cba48623e,23,7,True,93,0.7,0.06803304011711953
bc9cba48623e,24,7,True,536,1.0,0.0012326975423046763
bc9cba48623e,25,7,True,111,0.9,0.9879824573720638
bc9cba48623e,26,7,True,111,0.9,0.04782724722157099
bc9cba48623e,27,7,True,34,0.8,0.3747153455208438
bc9cba48623e,28,7,True,26,0.9,0.08307073660380714
bc9cba48623e,29,7,True,106,0.7,0.01875755878316816
