cell_hash,B,T_max_s,k,lambda_bg,N,alpha,D,init,n_trials,mean_cand_size,p10_cand_size,p90_cand_size,frac_cand_le_k,frac_cand_le_5,frac_cand_le_10,top1_acc,top5_acc,mean_mrr,mean_victim_score
5e780cc8a1dd,100,300,3,100,1024,0.5,matched,cold,4500,279.844,41,821,0.0,0.0,0.0,0.0,0.0,0.11872797260335605,0.9496018933841894
ecdcb4770668,100,300,3,100,1024,0.5,uniform,cold,4500,226.05844444444443,2,760,0.22711111111111112,0.25866666666666666,0.30622222222222223,0.33111111111111113,0.8764444444444445,0.6538916803423257,0.948808540856208
bc9cba48623e,100,300,3,100,1024,0.5,stale,cold,4500,226.5791111111111,1,754,0.22533333333333333,0.2571111111111111,0.3031111111111111,0.33044444444444443,0.8762222222222222,0.653324270091123,0.9496521278415251
